UCF Code,RBH,Date of Onboarding,Modalku,Akseleran,BSS,Danabijak
GCD-10169,Etrisno,2024-06-07,,2024-06-07,,
GCD-1682,Rajdeep Dutta,2024-06-07,2025-01-07,2024-06-07,,
GCD-11259,Etrisno,2024-06-10,2025-03-12,2024-06-10,,
GCD-20128,Rajdeep Dutta,2024-06-10,,2024-06-10,,
GCD-16912,Rajdeep Dutta,2024-06-10,,2024-06-10,,
GCD-6965,Rajdeep Dutta,2024-06-11,,2024-06-11,,
GCD-10090,Etrisno,2024-06-11,2024-12-30,2024-06-11,,
GCD-10241,Rajdeep Dutta,2024-06-11,,2024-06-11,,
GCD-20154,Rajdeep Dutta,2024-06-11,2025-02-25,2024-06-11,,2026-01-22
GCD-20157,Rajdeep Dutta,2024-06-11,2025-01-03,2024-06-11,,
GCD-20144,Etrisno,2024-06-10,2025-01-21,2024-06-10,,
GCD-20150,Rajdeep Dutta,2024-06-12,,2024-06-12,,
GCD-2158,Etrisno,2024-06-12,2025-03-06,2024-06-12,,
GCD-20153,Rajdeep Dutta,2024-06-13,2024-12-26,2024-06-13,,
GCD-3518,Rajdeep Dutta,2024-06-13,,2024-06-13,,
GCD-20162,Rajdeep Dutta,2024-06-13,,2024-06-13,,
GCD-4228,Rajdeep Dutta,2024-06-14,2025-01-13,2024-06-14,,
GCD-6621,Etrisno,2024-06-14,,2024-06-14,,
GCD-20075,Rajdeep Dutta,2024-06-14,,2024-06-14,,
GCD-20160,Rajdeep Dutta,2024-06-18,2025-03-07,2024-06-18,,
GCD-10040,Rajdeep Dutta,2024-06-18,,2024-06-18,,
GCD-20152,Rajdeep Dutta,2024-06-19,2025-02-06,2024-06-19,,
GCD-20180,Rajdeep Dutta,2024-06-19,,2024-06-19,,
GCD-16922,Etrisno,2024-06-20,2025-02-25,2024-06-20,,
GCD-15083,Etrisno,2024-06-20,2025-02-06,2024-06-20,,
GCD-20158,Rajdeep Dutta,2024-06-20,,2024-06-20,,
GCD-12405,Etrisno,2024-06-20,2025-01-02,2024-06-20,,
GCD-20171,Rajdeep Dutta,2024-06-20,2025-01-06,2024-06-20,,2026-01-20
GCD-11368,Rajdeep Dutta,2024-06-20,2025-01-14,2024-06-20,,
GCD-20172,Rajdeep Dutta,2024-06-20,,2024-06-20,,
GCD-3123,Rajdeep Dutta,2024-06-20,2025-01-09,2024-06-20,,2026-01-29
GCD-20227,Rajdeep Dutta,2024-06-20,,2024-06-20,,
GCD-20080,Etrisno,2024-06-21,,2024-06-21,,
GCD-19876,Etrisno,2024-06-21,,2024-06-21,,
GCD-2712,Etrisno,2024-06-22,,2024-06-22,,
GCD-6716,Rajdeep Dutta,2024-06-24,,2024-06-24,,
GCD-12948,Etrisno,2024-06-24,,2024-06-24,,
GCD-6494,Etrisno,2024-06-25,2025-01-06,2024-06-25,,
GCD-11910,Etrisno,2024-06-25,,2024-06-25,,
GCD-20187,Rajdeep Dutta,2024-06-25,,2024-06-25,,
GCD-19441,Rajdeep Dutta,2024-06-25,,2024-06-25,,
GCD-20155,Etrisno,2024-06-25,2025-01-13,2024-06-25,,
GCD-2707,Rajdeep Dutta,2024-06-25,,2024-06-25,,
GCD-20183,Rajdeep Dutta,2024-06-26,,2024-06-26,,
GCD-12950,Rajdeep Dutta,2024-06-26,,2024-06-26,,
GCD-13214,Etrisno,2024-06-26,,2024-06-26,,
GCD-17219,Rajdeep Dutta,2024-06-26,2025-03-07,2024-06-26,,
GCD-14164,Etrisno,2024-06-26,2025-02-13,2024-06-26,,
GCD-12124,Etrisno,2024-06-26,2024-12-20,2024-06-26,,
GCD-13564,Etrisno,2024-06-27,2025-01-09,2024-06-27,,
GCD-17327,Rajdeep Dutta,2024-06-27,2025-01-06,2024-06-27,,
GCD-5349,Etrisno,2024-06-27,2025-01-13,2024-06-27,,
GCD-9589,Etrisno,2024-06-27,,2024-06-27,,
GCD-12892,Rajdeep Dutta,2024-06-27,2024-10-31,2024-06-27,,
GCD-20195,Rajdeep Dutta,2024-06-27,2025-01-06,2024-06-27,,2026-01-29
GCD-20200,Rajdeep Dutta,2024-06-27,2025-03-10,2024-06-27,,2026-02-09
GCD-3694,Rajdeep Dutta,2024-06-27,2025-05-08,2024-06-27,,
GCD-5053,Etrisno,2024-06-27,2024-12-23,2024-06-27,,
GCD-7698,Etrisno,2024-06-27,2025-01-06,2024-06-27,,
GCD-20202,Rajdeep Dutta,2024-06-27,,2024-06-27,,
GCD-20199,Rajdeep Dutta,2024-06-27,,2024-06-27,,
GCD-20204,Rajdeep Dutta,2024-06-28,,2024-06-28,,
GCD-18502,Etrisno,2024-06-28,,2024-06-28,,
GCD-20182,Etrisno,2024-06-26,,2024-06-26,,
GCD-18862,Etrisno,2024-06-28,,2024-06-28,,
GCD-17199,Etrisno,2024-06-28,,2024-06-28,,
GCD-6313,Rajdeep Dutta,2024-06-29,2025-01-07,2024-06-29,,
GCD-3963,Rajdeep Dutta,2024-07-01,,2024-07-01,,
GCD-20208,Rajdeep Dutta,2024-07-01,,2024-07-01,,
GCD-8095,Etrisno,2024-07-01,,2024-07-01,,
GCD-9665,Etrisno,2024-07-01,2025-01-06,2024-07-01,,
GCD-3934,Etrisno,2024-07-01,,2024-07-01,,
GCD-20212,Rajdeep Dutta,2024-07-02,,2024-07-02,,
GCD-4049,Rajdeep Dutta,2024-07-03,2025-06-10,2024-07-03,,
GCD-19424,Rajdeep Dutta,2024-07-03,2025-03-12,2024-07-03,,2025-12-30
GCD-3232,Etrisno,2024-07-03,,2024-07-03,,
GCD-19880,Etrisno,2024-07-03,,2024-07-03,,
GCD-5662,Rajdeep Dutta,2024-07-03,,2024-07-03,,
GCD-7011,Etrisno,2024-07-03,2025-05-20,2024-07-03,,
GCD-20447,Etrisno,2024-07-03,2025-01-06,2024-07-03,,
GCD-5875,Etrisno,2024-07-03,2025-01-21,2024-07-03,,
GCD-2718,Rajdeep Dutta,2024-07-03,2024-12-11,2024-07-03,,
GCD-15115,Etrisno,2024-07-03,,2024-07-03,,
GCD-20091,Etrisno,2024-07-04,,2024-07-04,,
GCD-4342,Rajdeep Dutta,2024-05-31,,2024-05-31,,
GCD-9865,Rajdeep Dutta,2024-07-05,2024-12-27,2024-07-05,,2025-12-17
GCD-16186,Rajdeep Dutta,2024-07-06,2025-01-02,2024-07-06,2026-03-18,2026-02-14
GCD-20176,Rajdeep Dutta,2024-07-06,,2024-07-06,,
GCD-7439,Rajdeep Dutta,2024-07-08,,2024-07-08,,
GCD-20083,Etrisno,2024-07-08,2025-01-21,2024-07-08,,
GCD-10030,Etrisno,2024-07-09,,2024-07-09,,
GCD-4284,Etrisno,2024-07-09,,2024-07-09,,
GCD-17386,Rajdeep Dutta,2024-07-09,2024-12-17,2024-07-09,,
GCD-6574,Etrisno,2024-07-09,,2024-07-09,,
GCD-2821,Rajdeep Dutta,2024-07-10,2025-02-25,2024-07-10,,2025-12-18
GCD-20213,Etrisno,2024-07-10,,2024-07-10,,
GCD-7509,Etrisno,2024-07-11,,2024-07-11,,
GCD-20190,Rajdeep Dutta,2024-07-11,,2024-07-11,,
GCD-20175,Rajdeep Dutta,2024-07-11,2025-01-06,2024-07-11,,2025-12-17
GCD-4102,Rajdeep Dutta,2024-07-11,,2024-07-11,,
GCD-3311,Etrisno,2024-07-12,,2024-07-12,,
GCD-9621,Etrisno,2024-07-12,2025-02-27,2024-07-12,,
GCD-20178,Rajdeep Dutta,2024-07-13,2025-01-17,2024-07-13,,2026-02-21
GCD-20264,Rajdeep Dutta,2024-07-15,,2024-07-15,,
GCD-13624,Etrisno,2024-07-15,,2024-07-15,,
GCD-20258,Rajdeep Dutta,2024-07-15,,2024-07-15,,
GCD-2454,Rajdeep Dutta,2024-07-15,,2024-07-15,,
GCD-12861,Etrisno,2024-07-16,2025-03-18,2024-07-16,,
GCD-12043,Etrisno,2024-07-16,,2024-07-16,,
GCD-20248,Etrisno,2024-07-16,,2024-07-16,,
GCD-10786,Etrisno,2024-07-16,2025-01-02,2024-07-16,,
GCD-5853,Rajdeep Dutta,2024-07-16,2025-02-17,2024-07-16,,2026-01-30
GCD-7717,Etrisno,2024-07-16,2025-01-14,2024-07-16,,
GCD-20225,Rajdeep Dutta,2024-07-17,,2024-07-17,,
GCD-3676,Rajdeep Dutta,2024-07-17,,2024-07-17,,
GCD-20214,Etrisno,2024-06-28,,2024-06-28,,
GCD-9670,Etrisno,2024-07-17,,2024-07-17,,
GCD-20277,Rajdeep Dutta,2024-07-18,2025-03-14,2024-07-18,,
GCD-1352,Rajdeep Dutta,2024-07-18,2025-04-22,2024-07-18,,2026-02-23
GCD-20285,Rajdeep Dutta,2024-07-18,2024-12-27,2024-07-18,,2026-01-08
GCD-18792,Rajdeep Dutta,2024-07-18,,2024-07-18,,
GCD-20267,Etrisno,2024-07-18,,2024-07-18,,
GCD-20279,Rajdeep Dutta,2024-07-18,2025-02-21,2024-07-18,,
GCD-20364,Etrisno,2024-07-18,,2024-07-18,,
GCD-5527,Etrisno,2024-07-19,2025-01-11,2024-07-19,,
GCD-10325,Rajdeep Dutta,2024-07-19,,2024-07-19,,
GCD-13979,Rajdeep Dutta,2024-07-19,,2024-07-19,,
GCD-10399,Etrisno,2024-07-19,,2024-07-19,,
OX22062414050501275,Rajdeep Dutta,2024-07-19,,2024-07-19,,
GCD-1357,Etrisno,2024-07-19,,2024-07-19,,
GCD-20229,Etrisno,2024-07-20,,2024-07-20,,
GCD-16449,Etrisno,2024-07-19,2025-01-22,2024-07-19,,
GCD-9017,Rajdeep Dutta,2024-07-22,2025-03-03,2024-07-22,,2026-01-20
GCD-4093,Etrisno,2024-07-22,2025-02-06,2024-07-22,,
GCD-5689,Etrisno,2024-07-22,,2024-07-22,,
GCD-20282,Etrisno,2024-07-22,2025-01-20,2024-07-22,,
GCD-9882,Rajdeep Dutta,2024-07-22,,2024-07-22,,
GCD-20292,Rajdeep Dutta,2024-07-22,2025-02-06,2024-07-22,,2026-01-15
GCD-7435,Etrisno,2024-07-23,2025-02-26,2024-07-23,,
GCD-19803,Etrisno,2024-07-23,,2024-07-23,,
GCD-19581,Etrisno,2024-07-23,,2024-07-23,,
GCD-20312,Rajdeep Dutta,2024-07-23,2025-03-12,2024-07-23,,
GCD-19159,Rajdeep Dutta,2024-07-23,,2024-07-23,,
GCD-5324,Etrisno,2024-07-23,2025-01-24,2024-07-23,,
GCD-20228,Etrisno,2024-07-23,2025-02-03,2024-07-23,,
GCD-20299,Rajdeep Dutta,2024-07-23,2025-03-27,2024-07-23,,
GCD-2913,Etrisno,2024-07-23,,2024-07-23,,
GCD-20278,Etrisno,2024-07-24,2025-01-15,2024-07-24,,
GCD-20311,Rajdeep Dutta,2024-07-24,,2024-07-24,,
GCD-20250,Rajdeep Dutta,2024-07-19,2025-01-02,2024-07-19,,
GCD-11154,Etrisno,2024-07-24,2025-01-08,2024-07-24,,
GCD-3830,Rajdeep Dutta,2024-07-24,2025-01-02,2024-07-24,,
GCD-5458,Etrisno,2024-07-24,,2024-07-24,,
GCD-11880,Etrisno,2024-07-25,,2024-07-25,,
GCD-20321,Rajdeep Dutta,2024-07-25,2025-01-23,2024-07-25,,2026-01-31
GCD-11959,Etrisno,2024-07-25,,2024-07-25,,
GCD-20317,Rajdeep Dutta,2024-07-25,2025-01-09,2024-07-25,,
GCD-6721,Rajdeep Dutta,2024-07-25,2025-01-06,2024-07-25,,
GCD-20319,Rajdeep Dutta,2024-07-25,2024-12-27,2024-07-25,,
GCD-20265,Etrisno,2024-07-25,2025-01-02,2024-07-25,,
GCD-20281,Etrisno,2024-07-25,,2024-07-25,,
GCD-16579,Rajdeep Dutta,2024-07-26,2025-02-27,2024-07-26,,2026-01-23
GCD-20240,Rajdeep Dutta,2024-07-26,,2024-07-26,,
GCD-20193,Etrisno,2024-07-26,2025-02-11,2024-07-26,,
GCD-3513,Etrisno,2024-07-26,,2024-07-26,,
GCD-20271,Etrisno,2024-07-27,,2024-07-27,,
GCD-20726,Rajdeep Dutta,2024-07-27,,2024-07-27,,
GCD-13541,Rajdeep Dutta,2024-07-27,,2024-07-27,,
GCD-17469,Rajdeep Dutta,2024-07-27,2025-01-06,2024-07-27,,2026-01-22
GCD-20275,Rajdeep Dutta,2024-07-27,,2024-07-27,,
GCD-20329,Rajdeep Dutta,2024-07-29,2025-01-10,2024-07-29,,
GCD-20333,Etrisno,2024-07-29,,2024-07-29,,
GCD-20306,Rajdeep Dutta,2024-07-29,,2024-07-29,,
GCD-20354,Etrisno,2024-07-29,,2024-07-29,,
GCD-14809,Rajdeep Dutta,2024-07-29,2024-07-29,,,
GCD-20326,Rajdeep Dutta,2024-07-29,2025-09-24,2024-07-29,,2026-03-17
GCD-3939,Rajdeep Dutta,2024-07-29,2025-03-18,2024-07-29,,2026-02-23
GCD-12533,Rajdeep Dutta,2024-07-29,2025-07-10,2024-07-29,,
GCD-14699,Etrisno,2024-07-30,,2024-07-30,,
GCD-20339,Etrisno,2024-07-30,,2024-07-30,,
GCD-17730,Etrisno,2024-07-31,,2024-07-31,,
GCD-20307,Etrisno,2024-07-31,,2024-07-31,,
GCD-20342,Rajdeep Dutta,2024-07-31,,2024-07-31,,
GCD-20340,Rajdeep Dutta,2024-07-31,2025-02-26,2024-07-31,,
GCD-20345,Rajdeep Dutta,2024-07-31,2025-03-18,2024-07-31,,2026-01-15
GCD-20338,Etrisno,2024-07-31,,2024-07-31,,
GCD-5502,Rajdeep Dutta,2024-07-31,2025-01-07,2024-07-31,,
GCD-11225,Etrisno,2024-07-31,,2024-07-31,,
GCD-13133,Rajdeep Dutta,2024-07-31,,2024-07-31,,
GCD-5442,Etrisno,2024-08-01,,2024-08-01,,
GCD-6900,Etrisno,2024-08-01,2025-01-06,2024-08-01,,
GCD-7409,Etrisno,2024-08-01,,2024-08-01,,
GCD-20256,Etrisno,2024-08-01,,2024-08-01,,
GCD-9996,Etrisno,2024-08-01,,2024-08-01,,
GCD-19381,Etrisno,2024-08-01,2025-01-13,2024-08-01,,
GCD-14305,Etrisno,2024-08-02,2025-02-04,2024-08-02,,
GCD-20357,Rajdeep Dutta,2024-08-02,2025-01-02,2024-08-02,,2026-01-16
GCD-4584,Rajdeep Dutta,2024-08-02,,2024-08-02,,
GCD-20226,Etrisno,2024-08-02,,2024-08-02,,
GCD-20362,Rajdeep Dutta,2024-08-02,2025-03-11,2024-08-02,,2026-01-30
GCD-20490,Etrisno,2024-08-05,,2024-08-05,,
GCD-20355,Etrisno,2024-08-05,2025-02-07,2024-08-05,,
GCD-16553,Rajdeep Dutta,2024-08-05,,2024-08-05,,
GCD-8075,Rajdeep Dutta,2024-08-06,2025-03-26,2024-08-06,,2026-01-28
GCD-20334,Etrisno,2024-08-06,,2024-08-06,,
GCD-12350,Rajdeep Dutta,2024-08-06,,2024-08-06,,
GCD-20365,Rajdeep Dutta,2024-08-06,,2024-08-06,,
GCD-6723,Etrisno,2024-08-07,,2024-08-07,,
GCD-4149,Rajdeep Dutta,2024-08-07,2025-03-04,2024-08-07,,
GCD-20501,Etrisno,2024-08-07,2025-01-15,2024-08-07,,
GCD-20337,Rajdeep Dutta,2024-08-08,2024-12-23,2024-08-08,,
GCD-4738,Etrisno,2024-08-08,2025-01-24,2024-08-08,,
GCD-20466,Rajdeep Dutta,2024-08-08,2025-01-20,2024-08-08,,2026-01-30
GCD-6257,Rajdeep Dutta,2024-08-08,,2024-08-08,,
GCD-9720,Rajdeep Dutta,2024-08-08,,2024-08-08,,
GCD-6564,Etrisno,2024-08-08,,2024-08-08,,
GCD-20376,Rajdeep Dutta,2024-08-08,2025-01-20,2024-08-08,,2025-12-22
GCD-5457,Rajdeep Dutta,2024-08-08,2025-01-08,2024-08-08,,
GCD-12016,Etrisno,2024-08-08,,2024-08-08,,
GCD-19875,Etrisno,2024-08-08,,2024-08-08,,
GCD-8851,Etrisno,2024-08-08,,2024-08-08,,
GCD-6732,Rajdeep Dutta,2024-08-08,,2024-08-08,,
GCD-3520,Etrisno,2024-08-08,,2024-08-08,,
GCD-20241,Etrisno,2024-08-09,,2024-08-09,,
GCD-8799,Rajdeep Dutta,2024-08-09,,2024-08-09,,
GCD-3185,Etrisno,2024-08-09,,2024-08-09,,
GCD-20373,Rajdeep Dutta,2024-08-09,2025-01-15,2024-08-09,,
GCD-5870,Etrisno,2024-08-10,,2024-08-10,,
GCD-3482,Rajdeep Dutta,2024-08-12,2025-08-31,2024-08-12,,
GCD-20367,Rajdeep Dutta,2024-08-12,2025-03-04,2024-08-12,,2026-01-28
GCD-18888,Etrisno,2024-08-12,,2024-08-12,,
GCD-20138,Rajdeep Dutta,2024-08-13,,2024-08-13,,
GCD-20399,Rajdeep Dutta,2024-08-13,,2024-08-13,,
GCD-20360,Rajdeep Dutta,2024-08-13,2024-12-16,2024-08-13,,2025-12-12
GCD-20310,Rajdeep Dutta,2024-08-14,,2024-08-14,,
GCD-16298,Etrisno,2024-08-14,,2024-08-14,,
GCD-20288,Etrisno,2024-08-14,,2024-08-14,,
GCD-20410,Etrisno,2024-08-14,,2024-08-14,,
GCD-8069,Etrisno,2024-08-14,2025-01-08,2024-08-14,,
GCD-8768,Etrisno,2024-08-15,,2024-08-15,,
GCD-20407,Etrisno,2024-08-15,,2024-08-15,,
GCD-11319,Rajdeep Dutta,2024-08-15,2025-03-07,2024-08-15,,2026-02-23
GCD-10226,Rajdeep Dutta,2024-08-15,,2024-08-15,,
GCD-20363,Rajdeep Dutta,2024-08-15,2025-02-24,2024-08-15,,2026-04-25
GCD-5642,Etrisno,2024-08-16,,2024-08-16,,
GCD-20372,Rajdeep Dutta,2024-08-16,2025-03-25,2024-08-16,,2026-01-20
GCD-20383,Etrisno,2024-08-16,,2024-08-16,,
GCD-19739,Etrisno,2024-08-16,,2024-08-16,,
GCD-20377,Etrisno,2024-08-19,2025-01-06,2024-08-19,,
GCD-10154,Etrisno,2024-08-20,,2024-08-20,,
GCD-14009,Etrisno,2024-08-20,2025-01-24,2024-08-20,,
GCD-20331,Etrisno,2024-08-20,,2024-08-20,,
GCD-15731,Etrisno,2024-08-20,,2024-08-20,,
GCD-20259,Rajdeep Dutta,2024-08-20,,2024-08-20,,
GCD-20420,Rajdeep Dutta,2024-08-20,,2024-08-20,,
GCD-5360,Etrisno,2024-08-20,,2024-08-20,,
GCD-20021,Etrisno,2024-08-21,,2024-08-21,,
GCD-20386,Etrisno,2024-08-21,2025-07-23,2024-08-21,,
GCD-13513,Etrisno,2024-08-21,2025-02-14,2024-08-21,,
GCD-20417,Rajdeep Dutta,2024-08-21,2024-12-20,2024-08-21,,
GCD-20421,Rajdeep Dutta,2024-08-21,,2024-08-21,,
GCD-19354,Rajdeep Dutta,2024-08-21,2025-01-03,2024-08-21,,
GCD-20422,Rajdeep Dutta,2024-08-21,,2024-08-21,,
GCD-9856,Rajdeep Dutta,2024-08-21,2025-01-06,2024-08-21,,
GCD-8710,Etrisno,2024-08-22,,2024-08-22,,
GCD-20403,Etrisno,2024-08-22,,2024-08-22,,
GCD-8685,Etrisno,2024-08-22,,2024-08-22,,
GCD-20406,Etrisno,2024-08-22,,2024-08-22,,
GCD-20335,Rajdeep Dutta,2024-08-22,,2024-08-22,,
GCD-17584,Etrisno,2024-08-22,,2024-08-22,,
GCD-20435,Rajdeep Dutta,2024-08-23,,2024-08-23,,
GCD-9469,Etrisno,2024-08-23,2025-03-14,2024-08-23,,
GCD-4844,Etrisno,2024-08-23,2025-08-25,2024-08-23,,
GCD-20437,Etrisno,2024-08-23,,2024-08-23,,
GCD-20401,Etrisno,2024-08-23,,2024-08-23,,
GCD-20390,Rajdeep Dutta,2024-08-23,2025-01-13,2024-08-23,,
GCD-20424,Etrisno,2024-08-24,,2024-08-24,,
GCD-20405,Rajdeep Dutta,2024-08-24,2025-03-05,2024-08-24,,2025-12-17
GCD-20415,Etrisno,2024-08-25,,2024-08-25,,
GCD-20439,Rajdeep Dutta,2024-08-26,,2024-08-26,,
GCD-19519,Rajdeep Dutta,2024-08-26,,2024-08-26,,
GCD-20446,Rajdeep Dutta,2024-08-26,2025-01-09,2024-08-26,,2026-01-22
GCD-20366,Etrisno,2024-08-26,2025-03-04,2024-08-26,,
GCD-20416,Rajdeep Dutta,2024-08-26,,2024-08-26,,
GCD-5626,Etrisno,2024-08-27,2025-02-04,2024-08-27,,
GCD-20550,Etrisno,2024-08-27,2025-01-16,2024-08-27,,
GCD-5122,Etrisno,2024-08-27,,2024-08-27,,
GCD-20381,Rajdeep Dutta,2024-08-27,,2024-08-27,,
GCD-19566,Etrisno,2024-08-27,2025-02-06,2024-08-27,,
GCD-3171,Rajdeep Dutta,2024-08-27,,,2024-08-27,
GCD-12193,Rajdeep Dutta,2024-08-27,2025-01-22,2024-08-27,,
GCD-4388,Etrisno,2024-08-29,,2024-08-29,,
GCD-10785,Etrisno,2024-08-29,2025-01-14,2024-08-29,,
GCD-14413,Etrisno,2024-08-30,2025-01-23,2024-08-30,,
GCD-20427,Etrisno,2024-08-30,,2024-08-30,,
GCD-10636,Etrisno,2024-08-30,,2024-08-30,,
GCD-9870,Etrisno,2024-08-30,,2024-08-30,,
GCD-4887,Rajdeep Dutta,2024-08-30,,2024-08-30,,
GCD-20455,Rajdeep Dutta,2024-08-30,,2024-08-30,,
GCD-13595,Rajdeep Dutta,2024-08-30,,2024-08-30,,
GCD-20459,Rajdeep Dutta,2024-08-30,2025-02-19,2024-08-30,2025-07-10,2025-12-22
GCD-12685,Etrisno,2024-08-31,2025-01-06,2024-08-31,,
GCD-15892,Etrisno,2024-08-31,,2024-08-31,,
GCD-5625,Etrisno,2024-08-31,,2024-08-31,,
GCD-5639,Etrisno,2024-08-31,,2024-08-31,,
GCD-20371,Etrisno,2024-09-02,2024-12-19,2024-09-02,,
GCD-20451,Rajdeep Dutta,2024-09-03,2025-01-15,2024-09-03,,2026-01-28
GCD-2558,Rajdeep Dutta,2024-09-03,2025-03-18,2024-09-03,,
GCD-19418,Rajdeep Dutta,2024-09-03,2025-02-28,2024-09-03,,
GCD-20469,Rajdeep Dutta,2024-09-05,2024-12-06,,2024-09-05,
GCD-20472,Rajdeep Dutta,2024-09-05,,2024-09-05,,
GCD-17559,Etrisno,2024-09-06,,2024-09-06,,
GCD-3846,Rajdeep Dutta,2024-09-06,2025-02-27,2024-09-06,,
GCD-20443,Rajdeep Dutta,2024-09-06,,2024-09-06,,
GCD-20432,Rajdeep Dutta,2024-09-06,,2024-09-06,,
GCD-20458,Etrisno,2024-09-07,2025-02-20,2024-09-07,,
GCD-12970,Etrisno,2024-09-07,2025-05-01,2024-09-07,,
GCD-20440,Etrisno,2024-09-09,,2024-09-09,,
GCD-20298,Rajdeep Dutta,2024-09-10,,2024-09-10,,
GCD-20370,Rajdeep Dutta,2024-09-10,,2024-09-10,,
GCD-7231,Rajdeep Dutta,2024-09-10,2025-11-17,2024-09-10,,2026-01-31
GCD-5323,Etrisno,2024-09-10,2025-01-13,2024-09-10,,
GCD-20161,Rajdeep Dutta,2024-09-10,2024-12-18,2024-09-10,,2025-12-12
GCD-20425,Etrisno,2024-09-11,,2024-09-11,,
GCD-18203,Etrisno,2024-09-11,,2024-09-11,,
GCD-6446,Etrisno,2024-09-11,2025-01-15,2024-09-11,,
OX16082410310201737,Etrisno,2024-09-11,,2024-09-11,,
GCD-20414,Rajdeep Dutta,2024-09-11,,2024-09-11,,
GCD-20391,Rajdeep Dutta,2024-09-11,,2024-09-11,,
GCD-20444,Rajdeep Dutta,2024-09-11,2025-01-16,2024-09-11,,2026-02-04
GCD-20481,Etrisno,2024-09-12,2025-02-22,2024-09-12,,
GCD-20499,Rajdeep Dutta,2024-09-12,2025-04-17,2024-09-12,,
GCD-20512,Rajdeep Dutta,2024-09-12,2025-10-20,2024-09-12,,
GCD-2716,Rajdeep Dutta,2024-09-12,,2024-09-12,,
GCD-3950,Etrisno,2024-09-12,2025-03-13,2024-09-12,,
GCD-14115,Etrisno,2024-09-13,2025-01-20,2024-09-13,,
GCD-20503,Rajdeep Dutta,2024-09-13,2025-02-27,2024-09-13,,2026-01-24
GCD-20518,Rajdeep Dutta,2024-09-17,,2024-09-17,,
GCD-4437,Etrisno,2024-09-17,2025-02-03,2024-09-17,,
GCD-13262,Rajdeep Dutta,2024-09-17,2025-02-12,2024-09-17,,2026-03-06
GCD-14747,Etrisno,2024-09-17,,2024-09-17,,
GCD-4502,Rajdeep Dutta,2024-09-17,,2024-09-17,,
GCD-7223,Etrisno,2024-09-17,,2024-09-17,,
GCD-20452,Etrisno,2024-09-18,,2024-09-18,,
GCD-11566,Rajdeep Dutta,2024-09-18,2025-07-29,2024-09-18,,2026-01-21
GCD-20520,Rajdeep Dutta,2024-09-18,2024-12-19,2024-09-18,,2025-12-18
GCD-20507,Rajdeep Dutta,2024-09-18,,2024-09-18,,
GCD-3806,Etrisno,2024-09-18,2024-12-27,2024-09-18,,
GCD-20111,Rajdeep Dutta,2024-09-19,2025-01-14,2024-09-19,,2025-12-17
GCD-20487,Rajdeep Dutta,2024-09-19,,2024-09-19,,
GCD-5251,Etrisno,2024-09-19,,2024-09-19,,
GCD-20470,Etrisno,2024-09-19,2025-01-02,2024-09-19,,
GCD-20523,Rajdeep Dutta,2024-09-19,2024-12-30,2024-09-19,,
GCD-17434,Etrisno,2024-09-19,,2024-09-19,,
GCD-20484,Etrisno,2024-09-20,2024-12-20,2024-09-20,,
GCD-9904,Etrisno,2024-09-20,,2024-09-20,,
GCD-19926,Rajdeep Dutta,2024-09-20,,2024-09-20,,
OX07082415541701655,Etrisno,2024-09-23,,2024-09-23,,
OX09092418440401876,Etrisno,2024-09-23,,2024-09-23,,
GCD-20540,Etrisno,2024-09-23,,2024-09-23,,
GCD-3055,Rajdeep Dutta,2024-09-23,,2024-09-23,,
OX05082415074501616,Etrisno,2024-09-23,,2024-09-23,,
GCD-16502,Etrisno,2024-09-24,2025-01-15,2024-09-24,,
GCD-13160,Etrisno,2024-09-24,,2024-09-24,,
GCD-20534,Rajdeep Dutta,2024-09-24,,2024-09-24,,
GCD-20473,Rajdeep Dutta,2024-09-24,2025-03-13,2024-09-24,,
GCD-20542,Rajdeep Dutta,2024-09-25,2025-01-03,2024-09-25,,2026-01-29
GCD-5825,Etrisno,2024-09-25,,2024-09-25,,
GCD-10139,Etrisno,2024-09-25,,2024-09-25,,
GCD-20530,Rajdeep Dutta,2024-09-25,,2024-09-25,,
GCD-20430,Etrisno,2024-09-26,2025-01-13,2024-09-26,,
GCD-20539,Rajdeep Dutta,2024-09-26,,2024-09-26,,
GCD-20565,Rajdeep Dutta,2024-09-26,2024-12-24,2024-09-26,,2026-02-05
GCD-20548,Rajdeep Dutta,2024-09-26,,2024-09-26,,
GCD-4705,Rajdeep Dutta,2024-09-27,2025-02-26,2024-09-27,,2026-01-31
GCD-3943,Etrisno,2024-09-27,,2024-09-27,,
GCD-11266,Rajdeep Dutta,2024-09-27,,2024-09-27,,
GCD-20500,Rajdeep Dutta,2024-09-29,2025-04-25,2024-09-29,,
GCD-7166,Etrisno,2024-09-30,,2024-09-30,,
GCD-20552,Rajdeep Dutta,2024-09-30,,2024-09-30,,
GCD-5794,Rajdeep Dutta,2024-09-30,2025-02-17,2024-09-30,,
GCD-20556,Rajdeep Dutta,2024-10-02,2025-02-14,2024-10-02,,2026-01-21
GCD-16496,Rajdeep Dutta,2024-10-02,,2024-10-02,,
GCD-6904,Rajdeep Dutta,2024-10-03,2025-03-03,2024-10-03,,2025-12-24
GCD-20562,Rajdeep Dutta,2024-10-03,2025-02-14,2024-10-03,,
GCD-18933,Rajdeep Dutta,2024-10-04,2025-01-18,2024-10-04,,2026-01-27
GCD-18360,Etrisno,2024-10-04,2025-01-22,2024-10-04,,
